Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2013,2013,tonnes,1199749,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2014,2014,tonnes,1928954,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2015,2015,tonnes,1932812,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2016,2016,tonnes,1942904,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2017,2017,tonnes,1696027,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2018,2018,tonnes,1688122,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2019,2019,tonnes,1680146,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Sweet potatoes,2020,2020,tonnes,1728332,I,Imputed value
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1961,1961,ha,137370,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1962,1962,ha,144967,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1963,1963,ha,152377,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1964,1964,ha,158387,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1965,1965,ha,168322,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1966,1966,ha,175373,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1967,1967,ha,185030,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1968,1968,ha,182248,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1969,1969,ha,185068,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1970,1970,ha,180789,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1971,1971,ha,183143,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1972,1972,ha,174114,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1973,1973,ha,159164,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1974,1974,ha,147763,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1975,1975,ha,153413,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1976,1976,ha,137978,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1977,1977,ha,117031,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1978,1978,ha,98230,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1979,1979,ha,91577,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1980,1980,ha,83545,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1981,1981,ha,84214,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1982,1982,ha,82076,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1983,1983,ha,76580,A,Official figure
